split,speaker_id,age,sex,dataset
train,Zwitserlood_678_wav_12,7.333333,female,Zwitserlood_678_wav
train,Zwitserlood_678_wav_17,7.388889,female,Zwitserlood_678_wav
train,Zwitserlood_678_wav_09,7.444444,female,Zwitserlood_678_wav
train,Zwitserlood_678_wav_18,7.750000,female,Zwitserlood_678_wav
train,Zwitserlood_678_wav_25,8.194444,female,Zwitserlood_678_wav
train,Zwitserlood_8910_wav_09,9.222222,female,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_24,9.250000,female,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_20,9.416667,female,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_02,9.444444,female,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_04,9.472222,female,Zwitserlood_8910_wav
train,Zwitserlood_678_wav_10,7.111111,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_08,7.194444,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_24,7.250000,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_30,7.250000,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_14,7.277778,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_20,7.305556,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_01,7.333333,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_13,7.361111,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_21,7.361111,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_04,7.388889,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_07,7.416667,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_23,7.416667,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_29,7.416667,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_15,7.500000,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_11,7.555556,male,Zwitserlood_678_wav
train,Zwitserlood_678_wav_19,7.555556,male,Zwitserlood_678_wav
train,Zwitserlood_8910_wav_11,8.861111,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_26,9.000000,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_10,9.111111,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_14,9.250000,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_30,9.250000,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_28,9.333333,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_05,9.361111,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_01,9.388889,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_18,9.388889,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_03,9.416667,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_22,9.444444,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_17,9.444444,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_23,9.472222,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_25,9.472222,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_29,9.583333,male,Zwitserlood_8910_wav
train,Zwitserlood_8910_wav_15,9.611111,male,Zwitserlood_8910_wav
test,Zwitserlood_678_wav_03,7.361111,female,Zwitserlood_678_wav
test,Zwitserlood_8910_wav_07,9.111111,female,Zwitserlood_8910_wav
test,Zwitserlood_8910_wav_12,9.444444,female,Zwitserlood_8910_wav
test,Zwitserlood_678_wav_22,7.222222,male,Zwitserlood_678_wav
test,Zwitserlood_678_wav_26,7.305556,male,Zwitserlood_678_wav
test,Zwitserlood_678_wav_28,7.361111,male,Zwitserlood_678_wav
test,Zwitserlood_678_wav_02,7.444444,male,Zwitserlood_678_wav
test,Zwitserlood_678_wav_05,7.583333,male,Zwitserlood_678_wav
test,Zwitserlood_8910_wav_08,9.222222,male,Zwitserlood_8910_wav
test,Zwitserlood_8910_wav_19,9.361111,male,Zwitserlood_8910_wav
test,Zwitserlood_8910_wav_16,9.416667,male,Zwitserlood_8910_wav
test,Zwitserlood_8910_wav_13,9.500000,male,Zwitserlood_8910_wav
verification,Zwitserlood_678_wav_06,7.611111,female,Zwitserlood_678_wav
verification,Zwitserlood_8910_wav_06,9.388889,female,Zwitserlood_8910_wav
verification,Zwitserlood_678_wav_27,7.277778,male,Zwitserlood_678_wav
verification,Zwitserlood_678_wav_16,7.416667,male,Zwitserlood_678_wav
verification,Zwitserlood_8910_wav_27,9.277778,male,Zwitserlood_8910_wav
verification,Zwitserlood_8910_wav_21,9.472222,male,Zwitserlood_8910_wav
